Rank,RatingTomatometer,Title,No. of Reviews
1.0,96%,Black Panther (2018),519
2.0,99%,Citizen Kane (1941),115
3.0,98%,Parasite (Gisaengchung) (2019),458
4.0,94%,Avengers: Endgame (2019),538
5.0,99%,Casablanca (1942),121
6.0,97%,Knives Out (2019),461
7.0,93%,Us (2019),545
8.0,97%,Toy Story 4 (2019),449
9.0,99%,Lady Bird (2017),394
10.0,97%,Mission: Impossible - Fallout (2018),433
11.0,96%,BlacKkKlansman (2018),443
12.0,98%,The Wizard of Oz (1939),120
13.0,98%,Get Out (2017),392
14.0,95%,The Irishman (2019),450
15.0,97%,Mad Max: Fury Road (2015),426
16.0,97%,Spider-Man: Into the Spider-Verse (2018),388
17.0,98%,Moonlight (2016),389
18.0,90%,A Star Is Born (2018),524
19.0,93%,Wonder Woman (2017),463
20.0,98%,Inside Out (2015),375
21.0,98%,The Farewell (2019),340
22.0,96%,A Quiet Place (2018),383
23.0,100%,Modern Times (1936),61
24.0,99%,Eighth Grade (2018),312
25.0,95%,Roma (2018),393
26.0,96%,Booksmart (2019),368
27.0,98%,Portrait of a Lady on Fire (Portrait de la jeune fille en feu) (2020),314
28.0,92%,Dunkirk (2017),458
29.0,97%,Coco (2017),348
30.0,97%,A Night at the Opera (1935),69
31.0,98%,The Godfather (1972),102
32.0,99%,Selma (2014),312
33.0,97%,Spotlight (2015),371
34.0,98%,It Happened One Night (1934),61
35.0,97%,La Grande illusion (Grand Illusion) (1938),67
36.0,92%,The Shape of Water (2017),451
37.0,93%,Thor: Ragnarok (2017),429
38.0,99%,The Third Man (1949),82
39.0,98%,The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari) (1920),66
40.0,94%,Arrival (2016),429
41.0,100%,Singin' in the Rain (1952),63
42.0,93%,Logan (2017),418
43.0,93%,The Favourite (2018),413
44.0,97%,Double Indemnity (1944),92
45.0,94%,Marriage Story (2019),387
46.0,98%,Snow White and the Seven Dwarfs (1937),52
47.0,98%,E.T. The Extra-Terrestrial (1982),132
48.0,98%,The Big Sick (2017),302
49.0,90%,Star Wars: The Last Jedi (2017),476
50.0,93%,Star Wars: Episode VII - The Force Awakens (2015),440
51.0,99%,All About Eve (1950),77
52.0,100%,The Kid (1921),44
53.0,97%,Boyhood (2014),326
54.0,100%,Paddington 2 (2018),244
55.0,100%,The Adventures of Robin Hood (1938),48
56.0,85%,Once Upon a Time In Hollywood (2019),562
57.0,95%,12 Years a Slave (2013),371
58.0,96%,Manchester by the Sea (2016),350
59.0,96%,Argo (2012),358
60.0,100%,Leave No Trace (2018),237
61.0,97%,"Nosferatu, a Symphony of Horror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire) (1922)",67
62.0,98%,King Kong (1933),64
63.0,90%,Spider-Man: Far From Home (2019),448
64.0,91%,La La Land (2016),462
65.0,89%,1917 (2020),454
66.0,98%,Alien (1979),125
67.0,93%,Incredibles 2 (2018),382
68.0,96%,Psycho (1960),102
69.0,98%,Zootopia (2016),293
70.0,94%,Call Me by Your Name (2018),358
71.0,100%,Shadow of a Doubt (1943),47
72.0,100%,Laura (1944),64
73.0,91%,The Invisible Man (2020),406
74.0,99%,Sunset Boulevard (1950),70
75.0,95%,Gravity (2013),355
76.0,96%,The Florida Project (2017),313
77.0,100%,The Maltese Falcon (1941),58
78.0,94%,War for the Planet of the Apes (2017),355
79.0,98%,A Hard Day's Night (1964),109
80.0,91%,Widows (2018),416
81.0,99%,The Battle of Algiers (La Battaglia di Algeri) (1967),89
82.0,100%,Rebecca (1940),64
83.0,92%,Spider-Man: Homecoming (2017),391
84.0,100%,Seven Samurai (Shichinin no Samurai) (1956),64
85.0,100%,The Philadelphia Story (1940),63
86.0,92%,Baby Driver (2017),388
87.0,99%,Never Rarely Sometimes Always (2020),223
88.0,100%,Top Hat (1935),42
89.0,99%,North by Northwest (1959),79
90.0,96%,Pain and Glory (Dolor y gloria) (2019),293
91.0,99%,Shoplifters (Manbiki kazoku) (2018),226
92.0,97%,Metropolis (1927),132
93.0,100%,M (1931),58
94.0,97%,Hell or High Water (2016),281
95.0,98%,Up (2009),298
96.0,90%,Shazam! (2019),409
97.0,98%,Jaws (1975),90
98.0,98%,"The Godfather, Part II (1974)",85
99.0,94%,The Dark Knight (2008),344
100.0,100%,Pinocchio (1940),56
